,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
15140,2683.9164,-999,101.2828,2,0.1688,9.9394,2644.0596,0.631,74.7136,8.5,9.2872,2.563,UN,7.6171,3,2
15141,2684.0688,-999,101.1242,2,0.1689,9.917,2644.2119,0.6293,74.5918,8.5,9.282,2.5593,UN,7.6171,3,2
15142,2684.2212,-999,102.1542,2,0.1681,9.8819,2644.3643,0.6427,74.537,8.5,9.2785,2.5582,UN,7.6171,3,2
15143,2684.3736,-999,103.1842,2,0.1672,9.8468,2644.5166,0.6561,74.4822,8.5,9.275,2.557,UN,7.6171,3,2
15144,2684.526,-999,103.7021,2,0.167,9.8126,2644.669,0.6631,74.4438,8.5,9.269,2.5568,UN,7.6171,3,2
15145,2684.6784,-999,101.7303,2,0.17,9.7828,2644.8213,0.639,74.4853,8.5,9.251,2.5607,UN,7.6171,3,2
15146,2684.8308,-999,99.7585,2,0.173,9.7531,2644.9737,0.6148,74.5269,8.5,9.233,2.5647,UN,7.6171,3,2
15147,2684.9832,-999,97.7868,2,0.176,9.7233,2645.126,0.5906,74.5684,8.5,9.215,2.5687,UN,7.6171,3,2
15148,2685.1356,-999,97.9441,2,0.1753,9.6451,2645.2783,0.5931,74.463,8.5,9.2068,2.562,UN,7.6171,3,2
15149,2685.288,-999,98.3652,2,0.1741,9.5608,2645.4307,0.599,74.3393,8.5,9.1999,2.5539,UN,7.6171,3,2
15150,2685.4404,-999,98.7863,2,0.173,9.4766,2645.583,0.6048,74.2157,8.5,9.193,2.5458,UN,7.6171,3,2
15151,2685.5928,-999,98.9512,2,0.1704,9.4061,2645.7354,0.6076,74.3241,8.5,9.1836,2.5473,UN,7.6171,3,2
15152,2685.7452,-999,98.9515,2,0.1668,9.3443,2645.8877,0.6082,74.5817,8.5,9.1727,2.5549,UN,7.6171,3,2
15153,2685.8976,-999,98.9519,2,0.1632,9.2825,2646.0401,0.6089,74.8393,8.5,9.1618,2.5625,UN,7.6171,3,2
15154,2686.05,-999,98.9115,2,0.1611,9.3092,2646.1924,0.609,74.7468,8.5,9.1522,2.5632,UN,7.6171,3,2
15155,2686.2024,-999,98.7877,2,0.162,9.5171,2646.3447,0.6078,73.9376,8.5,9.1455,2.5499,UN,7.6171,3,2
15156,2686.3548,-999,98.6639,2,0.1629,9.7249,2646.4971,0.6067,73.1283,8.5,9.1389,2.5366,UN,7.6171,3,2
15157,2686.5072,-999,98.3959,2,0.1638,9.8826,2646.6494,0.6037,72.4149,8.5,9.1315,2.5227,UN,7.6171,3,2
15158,2686.6596,-999,95.2204,2,0.1652,9.028,2646.8018,0.5639,73.6349,8.5,9.1102,2.4956,UN,7.6171,3,2
15159,2686.812,-999,92.0449,2,0.1667,8.1734,2646.9541,0.5241,74.8548,8.5,9.0889,2.4685,UN,7.6171,3,2
15160,2686.9644,-999,88.8694,2,0.1682,7.3189,2647.1065,0.4843,76.0747,8.5,9.0676,2.4415,UN,7.6171,3,2
15161,2687.1168,-999,84.924,2,0.1509,6.8535,2647.2588,0.4333,76.557,8.5,9.067,2.4378,UN,7.6171,3,2
15162,2687.2692,-999,80.744,2,0.128,6.5068,2647.4111,0.3789,76.8145,8.5,9.0726,2.4413,UN,7.6171,3,2
